Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,59.320000,60.970001,42.279999,47.980000,41.406860,106367000
2016-02-01,47.610001,51.160000,38.639999,43.529999,37.566494,102074500
2016-03-01,44.139999,51.680000,43.230000,47.240002,40.768230,128125700
2016-04-01,46.880001,47.580002,39.000000,40.869999,35.639698,135307000
2016-05-01,40.610001,46.549999,34.990002,46.540001,40.584087,159160100
2016-06-01,46.930000,51.270000,41.639999,47.259998,41.211945,134500300
2016-07-01,46.770000,54.560001,43.520000,47.509998,41.904953,105994200
2016-08-01,47.689999,47.689999,43.090000,46.669998,41.164051,95415000
2016-09-01,46.669998,59.860001,45.700001,58.470001,51.571938,120537700
2016-10-01,59.020000,61.970001,52.099998,58.439999,51.987095,102880400
2016-11-01,58.509998,64.370003,54.259998,63.660000,56.630707,86450000
2016-12-01,63.869999,72.010002,60.779999,67.949997,60.447002,90298100
2017-01-01,68.949997,81.669998,68.580002,79.730003,71.435280,96319700
2017-02-01,80.470001,80.699997,72.750000,76.879997,68.881783,65911900
2017-03-01,78.129997,84.279999,71.379997,82.529999,73.943977,89122900
2017-04-01,82.599998,91.000000,80.510002,89.070000,80.301987,97587900
2017-05-01,88.000000,92.269997,84.129997,90.059998,81.194534,80943100
2017-06-01,89.940002,95.000000,82.139999,88.599998,79.878258,95436600
2017-07-01,89.000000,95.769997,84.099998,85.120003,77.160873,84957400
2017-08-01,85.290001,92.139999,78.309998,88.269997,80.016327,93777300
2017-09-01,88.669998,91.169998,83.320000,86.400002,78.321182,87773800
2017-10-01,84.839996,90.330002,82.150002,89.269997,81.381462,87824100
2017-11-01,90.010002,93.309998,78.599998,78.860001,71.891365,78557400
2017-12-01,79.269997,85.629997,76.589996,79.529999,72.502159,81191500
2018-01-01,80.510002,91.190002,78.800003,88.980003,81.621178,100047300
2018-02-01,87.430000,89.930000,77.900002,87.040001,79.841621,68556600
2018-03-01,87.419998,106.959999,86.029999,92.269997,84.639076,92345600
2018-04-01,92.510002,93.410004,76.699997,78.790001,72.668060,71334300
2018-05-01,78.220001,88.620003,75.959999,83.510002,77.021332,94340400
2018-06-01,84.209999,87.160004,76.400002,77.410004,71.395294,83618200
2018-07-01,76.500000,80.120003,69.529999,70.150002,65.120605,71961200
2018-08-01,70.199997,70.430000,61.540001,63.240002,58.706017,90722500
2018-09-01,61.750000,61.750000,53.610001,58.540001,54.342991,102708300
2018-10-01,58.009998,59.560001,40.580002,43.070000,40.324184,146507000
2018-11-01,43.290001,49.580002,42.599998,45.389999,42.496277,122964900
2018-12-01,46.259998,46.540001,33.830002,36.970001,34.613075,122548100
2019-01-01,36.150002,47.950001,35.020000,44.990002,42.699902,194662100
2019-02-01,44.730000,52.240002,44.049999,50.299999,47.739605,113136300
2019-03-01,51.020000,53.400002,44.759998,48.060001,45.613632,153634100
2019-04-01,48.930000,55.540001,47.810001,51.119999,49.058395,130994700
2019-05-01,51.590000,53.040001,37.169998,37.220001,35.718964,114755600
2019-06-01,37.340000,47.599998,35.610001,47.549999,45.632370,137092400
2019-07-01,50.400002,57.860001,47.279999,53.889999,52.309769,140249400
2019-08-01,56.610001,58.500000,51.430000,57.270000,55.590660,101696100
2019-09-01,56.630001,65.309998,56.110001,59.639999,57.891159,90432600
2019-10-01,60.060001,63.130001,51.549999,51.650002,50.135452,94506500
2019-11-01,51.810001,55.180000,47.259998,50.330002,49.287880,104339400
2019-12-01,50.340000,63.599998,46.650002,63.470001,62.155804,103482200
2020-01-01,64.199997,72.000000,62.750000,65.500000,64.143776,119393800
2020-02-01,65.599998,71.300003,51.779999,55.560001,54.841614,82827300
2020-03-01,57.349998,60.959999,27.400000,41.619999,41.081856,170731000
2020-04-01,39.700001,48.830002,37.430000,46.080002,45.484192,126018000
2020-05-01,40.500000,46.310001,37.650002,44.369999,44.369999,129335200
2020-06-01,43.400002,49.880001,40.599998,44.150002,44.150002,128503800
2020-07-01,44.009998,47.389999,40.570000,43.099998,43.099998,97921900
2020-08-01,43.150002,45.360001,33.529999,38.419998,38.419998,159014500
2020-09-01,38.049999,41.119999,35.570000,36.549999,36.549999,136400200
2020-10-01,36.810001,43.770000,35.290001,37.730000,37.730000,142078400
2020-11-01,38.090000,46.540001,36.590000,44.880001,44.880001,82911700
2020-12-01,45.470001,55.950001,45.360001,55.389999,55.389999,102384600
2021-01-01,54.950001,60.680000,48.619999,56.430000,56.430000,107190400
